127.0.0.1 - - [20/Dec/2016:09:32:53 +0000] "POST /c/portal/extend_session HTTP/1.1" 200 35
127.0.0.1 - - [20/Dec/2016:09:38:59 +0000] "GET /web/vod/l2gos HTTP/1.1" 200 9430
127.0.0.1 - - [20/Dec/2016:09:38:59 +0000] "GET /lecture2go-theme/css/aui.css?browserId=firefox&themeId=lecture2go_WAR_lecture2gotheme&minifierType=css&languageId=de_DE&b=6205&t=1479218314000 HTTP/1.1" 200 26101
127.0.0.1 - - [20/Dec/2016:09:38:59 +0000] "GET /lecture2go-theme/js/jquery-2.1.4.min.js HTTP/1.1" 200 29569
127.0.0.1 - - [20/Dec/2016:09:38:59 +0000] "GET /html/css/main.css?browserId=firefox&themeId=lecture2go_WAR_lecture2gotheme&minifierType=css&languageId=de_DE&b=6205&t=1452605784000 HTTP/1.1" 200 19815
127.0.0.1 - - [20/Dec/2016:09:38:59 +0000] "GET /notifications-portlet/notifications/css/main.css?browserId=firefox&themeId=lecture2go_WAR_lecture2gotheme&minifierType=css&languageId=de_DE&b=6205&t=1482148939000 HTTP/1.1" 200 2060
127.0.0.1 - - [20/Dec/2016:09:38:59 +0000] "GET /lecture2go-portlet/js/bootstrap.min.js?browserId=firefox&minifierType=js&languageId=de_DE&b=6205&t=1482226437000 HTTP/1.1" 200 9842
127.0.0.1 - - [20/Dec/2016:09:38:59 +0000] "GET /lecture2go-portlet/js/jquery.cookie.js?browserId=firefox&minifierType=js&languageId=de_DE&b=6205&t=1482226437000 HTTP/1.1" 200 805
127.0.0.1 - - [20/Dec/2016:09:38:59 +0000] "GET /lecture2go-portlet/js/jquery.socialshareprivacy.js?browserId=firefox&minifierType=js&languageId=de_DE&b=6205&t=1482226437000 HTTP/1.1" 200 2457
127.0.0.1 - - [20/Dec/2016:09:38:59 +0000] "GET /html/js/barebone.jsp?browserId=firefox&themeId=lecture2go_WAR_lecture2gotheme&colorSchemeId=01&minifierType=js&minifierBundleId=javascript.barebone.files&languageId=de_DE&b=6205&t=1452609014000 HTTP/1.1" 200 315331
127.0.0.1 - - [20/Dec/2016:09:38:59 +0000] "GET /lecture2go-portlet/js/jquery.tmpl.min.js?browserId=firefox&minifierType=js&languageId=de_DE&b=6205&t=1482226437000 HTTP/1.1" 200 2710
